                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.0259,                0.60699,                 1.0234,                0.68058,                0.65835,                0.64514,                0.28091,                 1.8764,                 1.2232,                 1.4031,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.0223,                0.61176,                 1.0241,                0.69655,                0.64186,                0.67153,                0.26875,                 1.9099,                 1.2211,                 1.4319,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.0125,                0.60576,                 1.0172,                0.71268,                0.67463,                0.68218,                0.27555,                 1.9172,                   1.23,                 1.4461,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.0089,                0.58658,                  1.014,                0.61734,                0.70941,                0.69303,                0.27887,                 1.8908,                   1.17,                 1.4172,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.0001,                0.58763,                  1.012,                0.64025,                0.67162,                0.64669,                 0.2729,                 1.9367,                 1.2243,                 1.4559,             0.00057205,             0.00057205,             0.00057205
                     52,                0.99998,                0.59237,                 1.0152,                0.71029,                0.65998,                0.66032,                0.26212,                 1.8951,                 1.2057,                 1.4288,             0.00056105,             0.00056105,             0.00056105
                     53,                0.99799,                0.59302,                  1.011,                0.66322,                  0.726,                0.66871,                0.28299,                 1.8759,                 1.1816,                 1.4205,             0.00055006,             0.00055006,             0.00055006
                     54,                0.99718,                0.58574,                  1.008,                0.67406,                0.70622,                0.69692,                0.27903,                 1.8844,                 1.1965,                 1.4208,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.0018,                0.58496,                 1.0098,                0.64391,                0.70629,                0.67091,                0.29707,                 1.8531,                 1.2146,                 1.3764,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.0007,                 0.5812,                 1.0087,                0.63596,                 0.7076,                0.64922,                 0.2766,                 1.9057,                 1.2106,                 1.4377,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.0001,                0.58321,                 1.0099,                0.61188,                0.64169,                0.62447,                0.25946,                 1.9006,                 1.2062,                 1.4148,             0.00050606,             0.00050606,             0.00050606
                     58,                0.97868,                0.57073,                 1.0034,                0.68299,                0.65871,                 0.6629,                0.28335,                 1.9393,                 1.1997,                 1.4368,             0.00049506,             0.00049506,             0.00049506
                     59,                0.99574,                 0.5802,                 1.0075,                0.66411,                0.67183,                0.68121,                0.28979,                 1.8486,                  1.221,                 1.3799,             0.00048406,             0.00048406,             0.00048406
                     60,                0.97463,                0.57037,                 1.0033,                0.63313,                0.70529,                0.66339,                0.27003,                 1.9203,                 1.1865,                 1.4375,             0.00047306,             0.00047306,             0.00047306
                     61,                0.99074,                0.57921,                 1.0034,                0.69834,                0.64435,                0.65622,                0.26873,                 1.9232,                 1.2027,                 1.4561,             0.00046206,             0.00046206,             0.00046206
                     62,                0.96789,                0.56518,                0.99882,                0.70813,                0.68797,                0.70151,                0.30417,                 1.8563,                 1.1549,                 1.3868,             0.00045107,             0.00045107,             0.00045107
                     63,                0.98997,                0.58185,                 1.0066,                0.58008,                0.69067,                0.65937,                0.29391,                 1.8444,                 1.1907,                 1.3788,             0.00044007,             0.00044007,             0.00044007
                     64,                0.98579,                 0.5697,                 1.0072,                0.68487,                0.64125,                0.68668,                0.30353,                 1.8742,                 1.1862,                 1.4003,             0.00042907,             0.00042907,             0.00042907
                     65,                0.98005,                0.56814,                 1.0049,                0.73192,                0.64376,                  0.685,                0.28492,                  1.911,                 1.1767,                 1.4079,             0.00041807,             0.00041807,             0.00041807
                     66,                0.96162,                0.56277,                 0.9977,                 0.6917,                0.67123,                0.68904,                0.28943,                  1.877,                 1.2092,                 1.3949,             0.00040707,             0.00040707,             0.00040707
                     67,                 0.9681,                0.56341,                0.99918,                0.70603,                0.68797,                0.71131,                0.28616,                 1.9141,                 1.1799,                 1.4152,             0.00039607,             0.00039607,             0.00039607
                     68,                0.97607,                0.56342,                 1.0015,                0.69731,                0.74037,                0.72935,                0.29942,                  1.889,                 1.1819,                 1.4033,             0.00038507,             0.00038507,             0.00038507
                     69,                 0.9814,                0.56903,                 1.0033,                 0.6746,                    0.7,                0.67208,                0.28454,                 1.8979,                   1.22,                 1.4201,             0.00037407,             0.00037407,             0.00037407
                     70,                0.97898,                0.55787,                  0.997,                0.59674,                 0.6378,                0.61196,                0.27349,                 1.9013,                 1.2106,                 1.4163,             0.00036307,             0.00036307,             0.00036307
                     71,                0.97294,                0.55633,                 1.0004,                0.70073,                 0.6685,                0.64426,                0.26009,                  1.935,                 1.1995,                 1.4323,             0.00035208,             0.00035208,             0.00035208
                     72,                0.95094,                0.54324,                0.99155,                0.61951,                0.70082,                0.66363,                0.27681,                 1.9138,                 1.1834,                 1.4037,             0.00034108,             0.00034108,             0.00034108
                     73,                0.95472,                0.54827,                0.99075,                0.71192,                0.60026,                0.67883,                0.27615,                 1.9159,                 1.1804,                 1.4146,             0.00033008,             0.00033008,             0.00033008
                     74,                0.96514,                0.55501,                0.99794,                 0.7198,                 0.7043,                0.67806,                0.27287,                 1.9391,                 1.1483,                 1.4546,             0.00031908,             0.00031908,             0.00031908
                     75,                0.95011,                 0.5396,                0.99255,                0.60432,                0.71351,                0.65506,                0.27419,                 1.9075,                 1.1557,                 1.4211,             0.00030808,             0.00030808,             0.00030808
                     76,                0.94836,                 0.5419,                0.99607,                0.54504,                0.73922,                0.62638,                 0.2523,                 1.9278,                 1.2035,                 1.4317,             0.00029708,             0.00029708,             0.00029708
                     77,                0.95348,                0.53942,                0.98992,                0.65827,                 0.6903,                0.67225,                0.27803,                 1.9036,                  1.156,                 1.4278,             0.00028608,             0.00028608,             0.00028608
                     78,                0.95239,                0.54422,                0.99017,                 0.7041,                0.66423,                 0.6954,                0.28408,                 1.8845,                 1.1819,                 1.4013,             0.00027508,             0.00027508,             0.00027508
                     79,                0.93753,                0.53476,                0.98521,                0.65593,                0.71745,                0.67854,                0.28449,                  1.885,                 1.1238,                  1.407,             0.00026408,             0.00026408,             0.00026408
                     80,                0.94536,                0.53402,                0.98879,                0.68701,                0.71263,                0.69887,                0.28683,                 1.9178,                 1.1504,                 1.4114,             0.00025309,             0.00025309,             0.00025309
                     81,                0.94575,                0.53384,                0.98704,                 0.6748,                0.70585,                0.65696,                0.26468,                 1.9017,                 1.2166,                 1.4166,             0.00024209,             0.00024209,             0.00024209
                     82,                 0.9289,                0.52672,                0.98283,                0.71559,                0.71571,                0.69658,                0.29435,                 1.8879,                 1.1321,                 1.4176,             0.00023109,             0.00023109,             0.00023109
                     83,                0.92689,                0.52119,                0.98195,                0.69143,                0.73833,                0.67577,                0.27976,                 1.9182,                 1.1464,                 1.4368,             0.00022009,             0.00022009,             0.00022009
                     84,                 0.9462,                0.53391,                 0.9873,                0.70403,                0.72649,                0.69713,                0.29492,                 1.9094,                 1.1082,                 1.4192,             0.00020909,             0.00020909,             0.00020909
                     85,                0.92908,                0.52924,                0.98407,                0.71378,                0.73257,                0.71069,                0.29957,                 1.8734,                 1.1465,                 1.4017,             0.00019809,             0.00019809,             0.00019809
                     86,                0.92898,                0.51863,                0.98432,                0.69764,                0.74641,                0.70401,                0.29733,                 1.8646,                 1.1216,                 1.3912,             0.00018709,             0.00018709,             0.00018709
                     87,                0.91202,                 0.5078,                0.97133,                0.70963,                0.73255,                 0.7047,                0.29763,                 1.8908,                 1.1071,                 1.4201,             0.00017609,             0.00017609,             0.00017609
                     88,                 0.9281,                0.51787,                0.98231,                0.65783,                 0.7379,                0.68513,                0.28457,                  1.922,                 1.1215,                 1.4233,             0.00016509,             0.00016509,             0.00016509
                     89,                 0.9131,                0.51234,                0.97338,                0.69842,                 0.7409,                 0.6798,                0.27396,                 1.9226,                 1.1246,                  1.432,              0.0001541,              0.0001541,              0.0001541
                     90,                0.92661,                0.51823,                0.98314,                0.68485,                0.73044,                0.67782,                0.28065,                 1.8962,                 1.1138,                 1.4143,              0.0001431,              0.0001431,              0.0001431
                     91,                0.91162,                0.48402,                0.96613,                0.68605,                0.70464,                0.66695,                0.28552,                 1.8847,                 1.1273,                 1.4012,              0.0001321,              0.0001321,              0.0001321
                     92,                0.90418,                0.47177,                0.96594,                0.65775,                0.69136,                0.68029,                0.28102,                  1.898,                  1.134,                 1.4093,              0.0001211,              0.0001211,              0.0001211
                     93,                 0.9033,                0.47035,                0.96665,                0.69588,                0.71752,                0.65953,                0.26909,                 1.9318,                 1.1478,                 1.4355,              0.0001101,              0.0001101,              0.0001101
                     94,                0.90058,                0.46795,                0.96478,                 0.6509,                0.69104,                0.64757,                0.27034,                 1.9176,                 1.1356,                 1.4265,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.89313,                0.46492,                0.96477,                 0.6029,                0.69175,                0.62841,                0.27521,                  1.916,                  1.129,                 1.4218,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.89402,                 0.4616,                0.96401,                0.65771,                0.69837,                0.67658,                0.28413,                 1.9198,                 1.1299,                 1.4267,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.88885,                 0.4586,                0.96476,                0.68199,                0.72283,                0.66916,                0.27372,                 1.9129,                 1.1253,                 1.4229,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.88877,                 0.4598,                0.96217,                0.64179,                0.67967,                0.63028,                0.27737,                 1.9067,                 1.1236,                 1.4185,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.88706,                0.45727,                0.95942,                0.67256,                0.71252,                0.66086,                0.28061,                 1.9197,                 1.1083,                 1.4278,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.88069,                 0.4532,                0.95682,                0.62823,                0.71738,                0.66876,                0.28439,                 1.9185,                 1.1097,                 1.4243,             3.3108e-05,             3.3108e-05,             3.3108e-05
